id,group_id,question_number,question_text,correct_answer,explanation,display_order
1,1,1,,D,,1
2,2,2,,C,,1
3,3,3,,B,,1
4,4,4,,C,,1
5,5,5,,D,,1
6,6,6,,A,,1
7,7,7,,B,,1
8,8,8,,A,,1
9,9,9,,B,,1
10,10,10,,C,,1
11,11,11,,A,,1
12,12,12,,B,,1
13,13,13,,A,,1
14,14,14,,C,,1
15,15,15,,A,,1
16,16,16,,C,,1
17,17,17,,B,,1
18,18,18,,B,,1
19,19,19,,C,,1
20,20,20,,A,,1
21,21,21,,C,,1
22,22,22,,C,,1
23,23,23,,B,,1
24,24,24,,A,,1
25,25,25,,B,,1
26,26,26,,A,,1
27,27,27,,C,,1
28,28,28,,A,,1
29,29,29,,C,,1
30,30,30,,B,,1
31,31,31,,B,,1
32,32,32,Why is the woman calling?,A,,1
33,32,33,Why does the man apologize?,D,,2
34,32,34,What does the man remind the woman about?,C,,3
35,33,35,What event will the speakers be attending later today?,C,,1
36,33,36,"Why does the man say, ""she has a van""?",A,,2
37,33,37,What will the woman most likely do next?,B,,3
38,34,38,Where do the speakers work?,A,,1
39,34,39,What does the woman say she is concerned about?,B,,2
40,34,40,What does the man suggest that the woman do?,D,,3
41,35,41,Why is the woman calling?,C,,1
42,35,42,What event is the woman planning to attend?,B,,2
43,35,43,What does the man give the woman as an apology?,D,,3
44,36,44,Where does the woman work?,C,,1
45,36,45,What problem with some e-mails does the man mention?,D,,2
46,36,46,What will the woman most likely do next?,B,,3
47,37,47,What is the conversation mainly about?,B,,1
48,37,48,What does the woman say people at the company are currently working on?,A,,2
49,37,49,Why is the man concerned?,D,,3
50,38,50,What are the speakers preparing for?,C,,1
51,38,51,What does the woman say will be delivered in an hour?,D,,2
52,38,52,What will the speakers most likely do next?,A,,3
53,39,53,What event are the speakers discussing?,C,,1
54,39,54,"What does the man mean when he says, ""there's a lot of damage""?",C,,2
55,39,55,What does the woman recommend?,A,,3
56,40,56,What industry do the speakers most likely work in?,A,,1
57,40,57,"According to the man, why has a software program become popular?",B,,2
58,40,58,What might Marion still need to do?,A,,3
59,41,59,What are the speakers discussing?,C,,1
60,41,60,What challenge does Stan mention?,B,,2
61,41,61,What does Pedro say he will do?,A,,3
62,42,62,"According to the man, why is today's Sea-Ride Special tour popular?",A,,2
63,42,63,Look at the graphic. What time will the woman depart on a tour?,D,,1
64,42,64,What will the woman most likely do next?,B,,3
65,43,65,Why does the woman apologize?,D,,1
66,43,66,Look at the graphic. Which location does the woman recommend?,C,,2
67,43,67,Why is the man in a hurry?,A,,3
68,44,68,Why does the woman call?,B,,1
69,44,69,Look at the graphic. What is the price of the item the woman wants to buy?,D,,2
70,44,70,What will the man most likely do tomorrow?,D,,3
71,45,71,What feature of a business does the speaker emphasize?,C,,1
72,45,72,What can attendees do at the grand opening event?,D,,2
73,45,73,What does the speaker advise event attendees to do?,B,,3
74,46,74,What does the listener want to do?,C,,1
75,46,75,"Why does the speaker say, ""those rooms are always booked far in advance""?",D,,2
76,46,76,"According to the speaker, what should the listener bring?",B,,3
77,47,77,Who most likely is the speaker?,C,,1
78,47,78,What does the speaker advise the listeners to do?,A,,2
79,47,79,What does the speaker say she is going to do next?,B,,3
80,48,80,Why will the speaker be traveling?,D,,1
81,48,81,Why is the speaker concerned?,C,,2
82,48,82,What does the speaker ask the listener to do?,A,,3
83,49,83,What does the speaker remind the listeners to do?,D,,1
84,49,84,"According to the speaker, what can the listeners apply for?",A,,2
85,49,85,How can the listeners get information about future events?,A,,3
86,50,86,What service does the business offer?,B,,1
87,50,87,"According to the speaker, how is the business different from its competitors?",D,,2
88,50,88,How can the listeners make an appointment?,C,,3
89,51,89,Who most likely are the listeners?,A,,1
90,51,90,"What does the speaker mean when he says, ""they received over 200 applications""?",B,,2
91,51,91,Why does the speaker say that work cannot begin right away?,D,,3
92,52,92,What is the purpose of the talk?,D,,1
93,52,93,Where is the talk taking place?,C,,2
94,52,94,"What does the speaker mean when she says, ""I have a consultation with a client""?",B,,3
95,53,95,What is the main purpose of the call?,A,,1
96,53,96,Look at the graphic. Which model does the speaker prefer?,D,,2
97,53,97,What does the speaker ask about?,C,,3
98,54,98,Who most likely are the listeners?,C,,1
99,54,99,Look at the graphic. What was the approval rating of the feature that will be improved?,B,,2
100,54,100,"According to the speaker, why is a revision urgent?",B,,3
101,55,101,"When she held her last meeting, Ms. Toba ------- her sales staff to perform even better next quarter.",C,,1
102,56,102,All staff have been informed ------- the proposed partnership with ERI Finance.,B,,1
103,57,103,"On Friday, Mr. Nakamura will discuss ------- ideas for supporting busy waiters.",A,,1
104,58,104,The Forestry Commission was created to ------- the state's natural resources and wildlife.,B,,1
105,59,105,"By following established guidelines, construction workers will be able to complete their tasks -------.",D,,1
106,60,106,"With her numerous credentials, Dr. Kwan is highly ------- to teach medieval history at Maston University.",D,,1
107,61,107,------- at the annual technology conference is mandatory for all engineers at the Treemont Corporation.,A,,1
108,62,108,"The café ------- features poets, folk singers, and drama groups on its stage.",B,,1
109,63,109,"Before the seminar began, attendees were assured ------- all scheduled presenters would appear.",C,,1
110,64,110,"Forever Pet has been a leader in bringing new products, ------- Fun Bone and Chew Right, to the market.",D,,1
111,65,111,Ms. Turner is in charge of ------- the organization of records in the human services department.,C,,1
112,66,112,Sheefon Bank clients always receive an e-mail or text ------- following any change to their account password.,B,,1
113,67,113,A drop in consumer demand has led to a ------- decrease in the production of large pickup trucks.,D,,1
114,68,114,"After coating the potatoes in flour and spices, chefs should place them ------- into the deep fryer.",D,,1
115,69,115,Several banks have released applications that allow ------- customers to pay bills easily by phone.,A,,1
116,70,116,The personnel department will ------- only those applicants who have five or more years of experience for the position.,B,,1
117,71,117,Employees of Belfore Electronics Ltd. are ------- involved in community-assistance programs.,B,,1
118,72,118,The executives at Macalter Equipment decided they would not ------- the contract without major changes.,A,,1
119,73,119,Wet suits are made with a ------- layer of rubber that traps heat and keeps divers warm.,C,,1
120,74,120,Newcamp Services managers will meet to discuss the proposed ------- of three smaller branches into one large branch.,D,,1
121,75,121,"At Yarzen Technology, clients' records are ------- and can only be accessed by a small group of fund managers.",B,,1
122,76,122,The featured panel at the NHJ Medical Conference will discuss recent ------- in online health-care services.,C,,1
123,77,123,All of Millville's restaurants ------- several times a year by the city health department.,D,,1
124,78,124,Sweet Sunlight Bakery has steadily built a ------- base of customers with its delicious cookies and cakes.,B,,1
125,79,125,"According to financial analysts, ------- in medical technology companies are expected to increase in value.",D,,1
126,80,126,The city's harbor is ------- to container ships and fishing vessels of all sizes.,A,,1
127,81,127,"Maya's Dancewear expanded its advertising markets, and sales have ------- increased.",B,,1
128,82,128,Dobson Ice Cream will not introduce any new flavors ------- the customer survey results are analyzed.,B,,1
129,83,129,The renovated company gym ------- with free weights and exercise machines.,C,,1
130,84,130,"------- driving their cars, workers who travel to the town center should use the bus lines.",B,,1
131,85,131,Select the best option for space [131].,B,,1
132,85,132,Select the best option for space [132].,C,,2
133,85,133,Select the best option for space [133].,C,,3
134,85,134,Select the best option for space [134].,A,,4
135,86,135,Select the best option for space [135].,D,,1
136,86,136,Select the best option for space [136].,A,,2
137,86,137,Select the best option for space [137].,C,,3
138,86,138,Select the best option for space [138].,D,,4
139,87,139,Select the best option for space [139].,A,,1
140,87,140,Select the best option for space [140].,A,,2
141,87,141,Select the best option for space [141].,D,,3
142,87,142,Select the best option for space [142].,D,,4
143,88,143,Select the best option for space [143].,B,,1
144,88,144,Select the best option for space [144].,D,,2
145,88,145,Select the best option for space [145].,A,,3
146,88,146,Select the best option for space [146].,C,,4
147,89,147,What is indicated about Harbis Stationery Store?,A,"The advertisement states that all school supplies are 10% off, indicating that the store sells materials for students.",1
148,89,148,What item is discounted by the greatest percentage?,B,"The box of five customizable seasonal cards or invitations is discounted by 50%, which is the greatest discount mentioned.",2
149,90,149,What is the purpose of the e-mail?,B,The e-mail reminds Mr. Peng that his leased vehicle is due for its required annual service and maintenance check.,1
150,90,150,What is indicated about Chen Construction?,C,"The e-mail states that Toshi Auto Group handles the service needs for cars leased by employees of Chen Construction, indicating that some employees are provided with leased cars.",2
151,91,151,What is the main purpose of the article?,C,"The article announces the launch of Tillford Exalt, a new imprint that will publish a series of books.",1
152,91,152,What is planned for December?,B,"The article states that Lain Lai's memoir, telling the story of her life and career, will be released in December.",2
153,91,153,What does Frederick Bissett emphasize about Tillford Exalt?,D,Frederick Bissett emphasizes that the imprint features authors from a wide variety of cultural backgrounds.,3
154,92,154,What problem does Mr. Skagen mention?,D,"Mr. Skagen explains that the power door at Loading Dock B opens but closes again after about 30 seconds, indicating that the access door is malfunctioning.",1
155,92,155,"At 9:02 A.M., what does Mr. Skagen most likely mean when he writes, ""Yes, that works""?",C,He agrees with Brenda's suggestion that the trainees create shipping labels and pack shipments before learning loading dock operations in the afternoon.,2
156,93,156,Why was the form submitted?,C,"The requester explains that the television displays video correctly but has no sound, so the audio is not functioning properly.",1
157,93,157,What is Ms. Deckow planning to do next week?,D,"She states that she is supposed to deliver a product demonstration for a client next Monday, which means she will give a presentation.",2
158,94,158,At what time will the executive board meeting begin?,C,"Stef says he needs to be at a different meeting at 2:30, and Ella identifies it as the executive board meeting.",1
159,94,159,In what area does Mr. Iverman most likely work?,B,"Bill says the quarterly reports need to be reviewed and refers to the finance team, indicating that he most likely works in Finance.",2
160,94,160,Why does Ms. Glatt want a colleague to attend a meeting?,C,She explains that someone from the finance department is needed to clarify a few points about the budget.,3
161,94,161,"At 11:43 A.M., what does Ms. Glatt most likely mean when she writes, ""Sounds great""?",A,She is responding positively to Daniel Seidal's offer to attend the marketing meeting from 2:00 to 2:15.,4
162,95,162,What does Ms. McFarland mention about Mr. Wilkins?,A,,1
163,95,163,"The word ""convey"" in paragraph 1, line 5, is closest in meaning to",B,,2
164,95,164,Why does Ms. McFarland want to leave her current position?,D,,3
165,95,165,Why does Ms. McFarland mention her travels?,D,,4
166,96,166,What does Trexdale Supply make?,C,,1
167,96,167,What did Trexdale Supply do in a recent project?,A,,2
168,96,168,What method of communicating with Trexdale Supply is mentioned?,D,,3
169,97,169,What work experience would best qualify a candidate for the position?,A,,1
170,97,170,"According to the advertisement, what should people interested in applying do next?",C,,2
171,97,171,"In which of the positions marked [1], [2], [3], and [4] does the following sentence best belong? ""Many of the world's best-known brands rely on our product demonstrators to generate positive impressions of their products.""",B,,3
172,98,172,What is the purpose of the article?,B,,1
173,98,173,How much do the Gorman Pro Phone 4 wireless headphones cost?,C,,2
174,98,174,What does the Pro Phone 4 have in common with prior models?,D,,3
175,98,175,"In which of the positions marked [1], [2], [3], and [4] does the following sentence best belong? ""These upgrades do come at a cost.""",A,,4
176,99,176,What does Ms. Xi's request indicate about the company?,C,,1
177,99,177,"In the e-mail, the word ""regular"" in paragraph 1, line 6, is closest in meaning to",A,,2
178,99,178,Where did Mr. Arnold learn about the details of Ms. Xi's request?,B,,3
179,99,179,How does Mr. Arnold try to satisfy Ms. Xi's request?,D,,4
180,99,180,What does Mr. Arnold ask Ms. Xi to do?,C,,5
181,100,181,"In the e-mail, what is suggested about Mr. Merson?",A,,1
182,100,182,"In the review, what is indicated about Neptune's Voyage?",B,,2
183,100,183,What can be concluded about Ms. Hanshu?,B,,3
184,100,184,What does Mr. Weber find exciting about Neptune's Voyage?,D,,4
185,100,185,When will Neptune's Voyage be available?,D,,5
186,101,186,"According to the schedule, who is Ms. Jones?",C,,1
187,101,187,What is the purpose of the e-mail?,A,,2
188,101,188,When did Mr. Fabre most likely first listen to Wonder Ridge Radio?,C,,3
189,101,189,What does the job advertisement suggest applicants must have?,B,,4
190,101,190,What radio program will probably receive the most support from the programming assistant?,A,,5
191,102,191,What do the instructions indicate about records requests?,B,,1
192,102,192,"According to the e-mail, how does Mr. Brandenberg plan to use some public information?",B,,2
193,102,193,What does the sign indicate visitors must do before entering a building?,D,,3
194,102,194,What was Mr. Brandenberg expecting to receive?,A,,4
195,102,195,What room will Mr. Brandenberg most likely visit?,D,,5
196,103,196,What does the review mention about Mr. Eklund?,C,,1
197,103,197,Where most likely will Ms. Joshi meet Mr. Eklund?,A,,2
198,103,198,"According to the first e-mail, what is one reason Ms. Joshi will travel in April?",D,,3
199,103,199,What is the purpose of the second e-mail?,B,,4
200,103,200,What can be concluded about Mr. Eklund?,C,,5
